michigan-state,87,59,35,5,18,0
kansas,92,69,33,11,11,0
duke,118,79,29,13,4,1
kentucky,84,59,38,9,15,1
idaho-state,79,70,13,10,13,2
gonzaga,120,70,37,12,7,2
towson,42,41,27,11,14,3
virginia,73,54,18,11,5,3
brigham-young,70,69,19,7,7,4
nevada,86,66,39,10,8,4
north-carolina,78,59,15,10,15,5
wofford,67,63,11,9,9,5
morgan-state,77,71,10,7,13,6
villanova,100,67,27,13,14,6
south-alabama,58,46,22,6,22,7
auburn,101,74,14,19,13,7
portland-state,57,73,16,18,11,8
oregon,84,50,33,9,14,8
eastern-washington,34,59,8,10,19,9
syracuse,66,62,28,12,9,9
florida,60,54,21,7,16,10
florida-state,81,48,34,6,16,10
norfolk-state,44,59,11,5,12,11
michigan,63,60,29,13,11,11
ipfw,71,71,17,6,12,12
ucla,96,74,17,12,15,12
citadel,80,58,25,2,14,13
clemson,100,61,25,6,12,13
southeastern-louisiana,63,54,19,10,19,14
louisiana-state,94,66,31,19,9,14
fairfield,57,60,9,8,11,15
purdue,90,59,15,8,13,15
western-kentucky,55,53,16,4,15,16
washington,73,65,20,9,7,16
alabama-am,63,52,14,8,21,17
south-florida,80,53,18,9,20,17
alabama-state,53,55,10,6,20,18
iowa-state,79,67,7,11,13,18
alcorn-state,56,49,12,6,19,19
tulsa,73,49,32,7,13,19
arkansas-pine-bluff,60,56,14,8,18,20
san-diego-state,76,56,22,9,12,20
boston-university,77,59,22,12,10,21
northeastern,74,56,24,8,10,21
bryant,63,68,26,13,15,22
rhode-island,97,72,23,16,10,22
cal-state-fullerton,94,74,26,4,17,23
arizona-state,102,78,44,18,17,23
california-riverside,59,57,8,4,11,24
oregon-state,72,59,11,5,7,24
california-santa-barbara,76,47,27,6,18,25
wyoming,66,58,27,8,8,25
central-arkansas,55,61,8,6,13,26
missouri,68,64,13,9,10,26
central-connecticut-state,75,61,20,13,14,27
hartford,68,57,18,11,15,27
chattanooga,80,55,20,7,8,28
charlotte,69,50,23,5,13,28
chicago-state,55,60,21,6,20,29
indiana,104,69,33,13,13,29
cleveland-state,63,45,19,2,17,30
davidson,83,72,13,18,12,30
colgate,78,53,27,12,11,31
njit,81,55,27,8,7,31
coppin-state,63,59,16,7,14,32
wisconsin,85,61,26,11,5,32
cornell,86,58,34,8,15,33
binghamton,75,66,17,4,13,33
delaware,67,65,11,8,11,34
maryland,73,62,30,15,12,34
delaware-state,56,57,18,8,20,35
east-carolina,81,61,27,11,13,35
detroit-mercy,76,71,27,13,9,36
western-michigan,89,66,28,22,15,36
east-tennessee-state,68,74,18,23,13,37
georgia-state,74,57,29,14,13,37
eastern-illinois,59,56,18,9,17,38
texas,71,52,20,6,16,38
elon,62,45,18,6,16,39
manhattan,56,65,9,11,11,39
florida-am,65,53,9,7,22,40
