saint-francis-pa,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
buffalo,0.8576,1.0718954248366013,67.0,78.125
morgan-state,1.1161492849668644,0.856225472707813,80.0,71.675
ucla,0.7379134860050891,1.3649425287356323,58.0,78.6
north-carolina,0.8653572445203529,1.1906867079280872,76.0,87.825

buffalo,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
saint-francis-pa,1.0718954248366013,0.8576,82.0,76.5
west-virginia,1.109865470852018,1.072753209700428,99.0,89.2
southern-illinois,0.9582689335394127,0.7714701601164483,62.0,64.7

rider,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
central-florida,0.8009153318077803,1.0451010886469674,70.0,87.4
coppin-state,1.0834371108343712,0.8535031847133758,87.0,80.3

central-florida,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
rider,1.0451010886469674,0.8009153318077803,84.0,80.375
florida-atlantic,1.1072179397337072,1.087695445275323,79.0,71.35
cal-state-fullerton,0.9710817565155301,0.7370659107016301,68.0,70.025
saint-josephs,1.2439418416801293,0.8881963381379042,77.0,61.9
western-kentucky,1.1079545454545454,0.8614102118791248,78.0,70.4

chicago-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
indiana,0.6549568323905924,1.228225568349572,55.0,83.975
notre-dame,0.9549480169426261,1.2893879029337196,62.0,64.925
central-michigan,0.7432641684732115,1.2577833125778333,60.0,80.725
illinois-state,0.955585464333782,1.0270455323519343,71.0,74.3
akron,0.5899326707277974,1.0991787744788375,46.0,77.975
east-tennessee-state,0.8997050147492626,1.2661023187338978,61.0,67.8

indiana,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
chicago-state,1.228225568349572,0.6549568323905924,104.0,84.675
montana-state,1.1107254425546684,0.48109965635738833,80.0,72.025
marquette,1.316420980459376,0.9561231172233138,96.0,72.925
arkansas,0.9584026622296173,0.9237583043340715,72.0,75.125

siena,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
providence,1.0952186350633428,1.2979351032448376,67.0,61.175
george-washington,1.1269906084115966,1.0308407266582171,69.0,61.224999999999994
norfolk-state,1.0170904543559816,0.9555189456342669,61.0,59.975
holy-cross,0.9009009009009008,1.0862315388280133,45.0,49.95

providence,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
siena,1.2979351032448376,1.0952186350633428,77.0,59.325
wichita-state,1.0906612133606,1.1365970558028071,80.0,73.35
holy-cross,1.00647016534867,0.8941004030780506,70.0,69.55
south-carolina,1.0249494268374915,0.9222298692360632,76.0,74.15
michigan,0.7175572519083969,1.056,47.0,65.5

wagner,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
seton-hall,0.7340823970037453,1.3510436432637571,49.0,66.75
massachusetts-lowell,1.0714285714285714,1.083076923076923,84.0,78.4
fairfield,1.090407177363699,0.9911744738628648,79.0,72.45

seton-hall,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
wagner,1.3510436432637571,0.7340823970037453,89.0,65.875
nebraska,0.7972027972027972,1.145721446473326,57.0,71.5
saint-louis,0.8680908782638183,0.9134948096885813,64.0,73.725

loyola-md,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
st-johns-ny,0.7033248081841432,0.9368258859784283,55.0,78.2
dartmouth,1.118881118881119,1.2438376943496399,80.0,71.5
delaware-state,1.1772315653298837,0.7865524896923565,91.0,77.3
temple,0.921595598349381,1.115702479338843,67.0,72.7
detroit-mercy,0.8728784205057153,1.3441654357459378,63.0,72.175

st-johns-ny,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
loyola-md,0.9368258859784283,0.7033248081841432,76.0,81.125
bowling-green-state,1.0579345088161207,1.0217113665389528,84.0,79.4
rutgers,1.2068965517241381,0.85667215815486,84.0,69.6
california,1.2234240954867586,1.168639053254438,82.0,67.025

marist,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
army,1.0237388724035608,1.1269780007719026,69.0,67.4
columbia,1.1164057181756297,1.0287648054145515,82.0,73.45
lehigh,1.0048848569434752,1.118279569892473,72.0,71.65

army,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
marist,1.1269780007719026,1.0237388724035608,73.0,64.775
duke,0.8640864086408641,1.2180110139293814,72.0,83.325
sacred-heart,0.9826771653543307,1.0313315926892952,78.0,79.375
massachusetts-lowell,1.0866091403004154,1.2125205930807248,85.0,78.225
brown,0.8431810923027786,1.1286089238845145,66.0,78.275

indiana-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
ball-state,0.9643605870020965,1.2554744525547445,69.0,71.55
green-bay,0.9440242057488654,0.9060299969390879,78.0,82.625

ball-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
