saint-francis-pa
Opponent,Location,gameid
buffalo,-1,1
morgan-state,1,2
ucla,-1,3
north-carolina,-1,4
virginia-tech,-1,5
niagara,1,6
american,-1,7
delaware,-1,8
lehigh,-1,9
mount-st-marys,1,10
fairleigh-dickinson,1,11
long-island-university,-1,12
st-francis-ny,-1,13
central-connecticut-state,-1,14
bryant,-1,15
wagner,1,16
sacred-heart,1,17
robert-morris,-1,18
mount-st-marys,-1,19
central-connecticut-state,1,20
bryant,1,21
fairleigh-dickinson,-1,22
robert-morris,1,23
st-francis-ny,1,24
long-island-university,1,25
wagner,-1,26
sacred-heart,-1,27

buffalo
Opponent,Location,gameid
saint-francis-pa,1,28
west-virginia,-1,29
southern-illinois,-1,30
dartmouth,1,31
marist,1,32
milwaukee,0,33
san-francisco,0,34
st-bonaventure,-1,35
southern-illinois,1,36
syracuse,-1,37
marquette,-1,38
canisius,-1,39
eastern-michigan,-1,40
toledo,1,41
miami-oh,1,42
western-michigan,-1,43
eastern-michigan,1,44
northern-illinois,-1,45
kent-state,-1,46
ball-state,1,47
bowling-green-state,-1,48
central-michigan,1,49
akron,-1,50
toledo,-1,51
ohio,1,52
kent-state,1,53
akron,1,54
miami-oh,-1,55
ohio,-1,56
bowling-green-state,1,57

rider
Opponent,Location,gameid
central-florida,-1,58
coppin-state,1,59
wagner,-1,60
west-virginia,-1,61
hofstra,-1,62
norfolk-state,1,63
robert-morris,1,64
washington-state,-1,65
drake,-1,66
northern-colorado,0,67
cal-state-northridge,0,68
virginia-commonwealth,-1,69
fairfield,-1,70
quinnipiac,1,71
canisius,-1,72
niagara,-1,73
manhattan,1,74
iona,-1,75
marist,1,76
saint-peters,1,77
monmouth,-1,78
manhattan,-1,79
canisius,1,80
siena,1,81
quinnipiac,-1,82
monmouth,1,83
saint-peters,-1,84
niagara,1,85
iona,1,86
marist,-1,87

central-florida
Opponent,Location,gameid
rider,1,88
florida-atlantic,1,89
cal-state-fullerton,0,90
saint-josephs,0,91
western-kentucky,0,92
northern-kentucky,1,93
alabama,1,94
missouri,-1,95
grambling,1,96
georgia-southern,1,97
stetson,1,98
illinois-state,1,99
temple,1,100
connecticut,-1,101
east-carolina,1,102
wichita-state,-1,103
tulsa,1,104
tulane,-1,105
memphis,-1,106
connecticut,1,107
houston,1,108
southern-methodist,-1,109
south-florida,1,110
memphis,1,111
cincinnati,-1,112
southern-methodist,1,113
south-florida,-1,114
houston,-1,115
cincinnati,1,116
temple,-1,117

chicago-state
Opponent,Location,gameid
indiana,-1,118
notre-dame,-1,119
central-michigan,-1,120
illinois-state,-1,121
akron,-1,122
east-tennessee-state,-1,123
jackson-state,0,124
bradley,-1,125
eastern-illinois,1,126
depaul,-1,127
northwestern,-1,128
western-illinois,-1,129
northern-illinois,-1,130
missouri-kansas-city,-1,131
california-baptist,1,132
grand-canyon,-1,133
cal-state-bakersfield,-1,134
seattle,1,135
utah-valley,1,136
texas-pan-american,-1,137
new-mexico-state,-1,138
california-baptist,-1,139
cal-state-bakersfield,1,140
grand-canyon,1,141
utah-valley,-1,142
seattle,-1,143
texas-pan-american,1,144
new-mexico-state,1,145
missouri-kansas-city,1,146

indiana
Opponent,Location,gameid
chicago-state,1,147
montana-state,1,148
marquette,1,149
arkansas,-1,150
texas-arlington,1,151
california-davis,1,152
duke,-1,153
northwestern,1,154
penn-state,-1,155
louisville,1,156
butler,0,157
central-arkansas,1,158
jacksonville,1,159
illinois,1,160
michigan,-1,161
maryland,-1,162
nebraska,1,163
purdue,-1,164
northwestern,-1,165
michigan,1,166
rutgers,-1,167
michigan-state,-1,168
iowa,1,169
ohio-state,1,170
minnesota,-1,171
purdue,1,172
iowa,-1,173
wisconsin,1,174
michigan-state,1,175
illinois,-1,176
rutgers,1,177

siena
Opponent,Location,gameid
providence,-1,178
george-washington,-1,179
norfolk-state,0,180
holy-cross,0,181
lehigh,1,182
colgate,1,183
hofstra,-1,184
harvard,1,185
st-bonaventure,-1,186
robert-morris,-1,187
college-of-charleston,1,188
holy-cross,-1,189
cal-poly,1,190
saint-peters,-1,191
canisius,1,192
marist,-1,193
monmouth,1,194
niagara,1,195
fairfield,-1,196
manhattan,1,197
monmouth,-1,198
iona,-1,199
fairfield,1,200
manhattan,-1,201
rider,-1,202
iona,1,203
quinnipiac,1,204
saint-peters,1,205
marist,1,206
canisius,-1,207
niagara,-1,208

providence
Opponent,Location,gameid
siena,1,209
wichita-state,0,210
holy-cross,1,211
south-carolina,0,212
michigan,0,213
iona,1,214
fairleigh-dickinson,1,215
rhode-island,1,216
boston-college,-1,217
massachusetts,1,218
central-connecticut-state,1,219
albany-ny,1,220
texas,-1,221
creighton,1,222
villanova,1,223
georgetown,-1,224
seton-hall,1,225
marquette,-1,226
xavier,-1,227
depaul,1,228
seton-hall,-1,229
depaul,-1,230
georgetown,1,231
st-johns-ny,-1,232
